Count of Location Geo. Coded,Column Labels,,,,,,,,,,,,,,,,,,,,,
,ANDROID,BUCSLIP,EEPHONE,EMAIL,FAX,FILESURV,INHOUSE,IPHONE,MAIL,MASS,MAYOFF,MOBILE,OTHER,PHONC,PHONE,PROACT,SRVCDRCT,SWEEP,WALKIN,WEB,(blank),Grand Total
Total,9,11,7,517,106,1,1816,36,58,1,3,343,5,54,124266,3,7,2,1487,380,,129112
